國喬特          ,	1312A
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,9000,20.80,21.35,20.80,21.30,-0.55,7,189650
104/01/06,0,--,--,--,--,,0,0
104/01/07,2000,21.50,21.50,21.50,21.50,X,1,43000
104/01/08,3000,21.60,21.95,21.60,21.95,0.45,3,65250
104/01/09,0,--,--,--,--,,0,0
104/01/12,3000,21.55,21.55,21.45,21.45,X,3,64450
104/01/13,0,--,--,--,--,,0,0
104/01/14,0,--,--,--,--,,0,0
104/01/15,0,--,--,--,--,,0,0
104/01/16,0,--,--,--,--,,0,0
104/01/19,0,--,--,--,--,,0,0
104/01/20,0,--,--,--,--,,0,0
104/01/21,0,--,--,--,--,,0,0
104/01/22,3000,21.50,21.50,21.40,21.40,X,3,64300
104/01/23,0,--,--,--,--,,0,0
104/01/26,0,--,--,--,--,,0,0
104/01/27,0,--,--,--,--,,0,0
104/01/28,0,--,--,--,--,,0,0
104/01/29,0,--,--,--,--,,0,0
104/01/30,1000,21.40,21.40,21.40,21.40,X,1,21400
104/02/02,1000,21.45,21.45,21.45,21.45,0.05,1,21450
104/02/03,1000,21.60,21.60,21.60,21.60,0.15,1,21600
104/02/04,0,--,--,--,--,,0,0
104/02/05,2000,21.50,21.55,21.50,21.55,X,2,43050
104/02/06,0,--,--,--,--,,0,0
104/02/09,0,--,--,--,--,,0,0
104/02/10,0,--,--,--,--,,0,0
104/02/11,1000,21.55,21.55,21.55,21.55,X,1,21550
104/02/12,0,--,--,--,--,,0,0
104/02/13,3000,20.90,21.55,20.90,21.55,X,3,63450
104/02/24,0,--,--,--,--,,0,0
104/02/25,1000,21.55,21.55,21.55,21.55,X,1,21550
104/02/26,0,--,--,--,--,,0,0
104/03/02,0,--,--,--,--,,0,0
104/03/03,0,--,--,--,--,,0,0
104/03/04,0,--,--,--,--,,0,0
104/03/05,6000,21.40,21.70,21.40,21.40,X,5,128700
104/03/06,2000,21.80,21.80,21.55,21.55,0.15,2,43350
104/03/09,4000,21.35,21.75,21.35,21.75,0.20,4,86200
104/03/10,0,--,--,--,--,,0,0
104/03/11,0,--,--,--,--,,0,0
104/03/12,0,--,--,--,--,,0,0
104/03/13,6000,22.60,22.60,21.55,21.55,X,5,130550
104/03/16,0,--,--,--,--,,0,0
104/03/17,1000,21.60,21.60,21.60,21.60,X,1,21600
104/03/18,7000,21.55,21.60,21.45,21.60,,4,150800
104/03/19,1000,21.60,21.60,21.60,21.60,,1,21600
104/03/20,0,--,--,--,--,,0,0
104/03/23,3000,21.50,21.75,21.50,21.75,X,2,64750
104/03/24,0,--,--,--,--,,0,0
104/03/25,2000,21.50,21.50,21.50,21.50,X,1,43000
104/03/26,5000,21.60,21.60,21.55,21.55,0.05,4,107900
104/03/27,1000,21.60,21.60,21.60,21.60,0.05,1,21600
104/03/30,0,--,--,--,--,,0,0
104/03/31,0,--,--,--,--,,0,0
104/04/01,0,--,--,--,--,,0,0
104/04/02,3000,21.60,21.95,21.60,21.95,X,2,65150
